#TYPE System.Management.Automation.PSCustomObject
"CM","Fname","Lname","Tell","Password"
"0942292447","حنانه","امير ارسلان","09158623213","1aucIUm*PO"
"0945495801","دانيال","اميدوار","09156936538",")xg#cBF_:4"
"0947536850","درسا","امانه","09152129385","6P$hp9YRTW"
"0947081601","دينا","اماندا","09158574481","7l.gTc6/is"
"0947157575","راضيه","امان الله","09159251398","Gbr#2*RcaK"
"0949999796","رضا","امان","09157356528","1Ivq:JsDB_"
"0947169042","رقيه","ام البنين","09152104903","2J?K2tvvA#"
"0948968023","رها","الياس","09154061540","CC5dEqU7@@"
"0947044012","ريحانه","الوند","09152306447","w,8pVKaCEX"
"0946912121","زهرا","المينا","09152374455","/V0K0lm)b6"
